UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Pami Q,@Duckypam,2020-11-22T23:56:59.000Z,"More incompetence from #mayorYogaPants and the sell outs on the City Council.  They want people dying, raped and robbed.  
@ericgarcetti
 @LACityCouncil
 @LACityBill Melugin
@BillFOXLA
 · 5h
NEW: Los Angeles has now crossed 300 homicides for the first time in over a decade (2009), and the year isn’t over yet. 297 going into weekend, now 4 more. 

Homicides up 25% vs 2019.
Shootings up 32% vs 2019. 

LAPD’s elite Robbery/Homicide division now being downsized. 
@FOXLA",🧡,,,
Barbara J Poppe,@bjpoppe,2020-11-22T23:10:14.000Z,"@LACityCouncil
 is considering punitive actions that would harm people who are unhoused. We urge compliance with CDC guidelines that state that homeless encampments should not be evicted during the COVID-19 pandemic unless the city can offer individual housing units",,1,,1
UUJMCA,@UUJMCA,2020-11-22T22:14:00.000Z,"@LACityCouncil
 @GavinNewsom
, local gov’ts 
@CulverCityGov
 & 
@CountyVentura
 are taking on Big Oil in neighborhoods with phase out plans & buffer zones. Now the ball’s in your court. Create a 2500ft buffer today. #NoDrillingWhereWereLiving 
@UUMFE
 @UUMFEARTH
 @VoicesCA
 @LastChance_CA",,,,
Daniel Guss,@TheGussReport,2020-11-22T20:26:55.000Z,"My Column Tomorrow: “Ron Klain, FBI Should Look Closer at Eric Garcetti’s Skeletons.”  
@RonaldKlain
 @FBILosAngeles
 @FBI
 @JoeBiden
 @DrBiden
 @GOPLeader
 @senatemajldr
 @GOPChairwoman
 @TheDemocrats
 @MayorOfLA
 @ericgarcetti
 @LACityCouncil
 @CD6Nury
 @Mike_Feuer
 @CityAttorneyLA
 @LAPDHQ",,,1,2
Tara Adler,@AdlerTara,2020-11-22T19:39:44.000Z,"How do we get 
@LACityCouncil
 members to finally get this very straight forward reality? #ServicesNotSweepsEmily Alpert Reyes
@AlpertReyes
 · 9h
“The study indicates that people became more likely to blame external factors for poverty and less likely to blame personal failings after the outbreak of the virus.” twitter.com/mdrc_news/stat…",,,,
(((Citizen Joan))),@CitizenJoan,2020-11-22T18:14:30.000Z,"Replying to 
@MrsAbbotKinney
 @MayorOfLA
 and 2 othersI distinctly remember #LAPD Chief Moore in an INTV back in August saying they could easily weather funding cuts/ $ reallocation without it impacting safety. Was he lying to appease marchers/protestors? 
@Venice311",,,,
Alex de Cordoba,@alexdecordoba,2020-11-22T17:52:29.000Z,"Replying to 
@boyonabike62You found my lost 
@UPS
 shipment! Please deliver to 
@LACityCouncil",,,,1
Alex de Cordoba,@alexdecordoba,2020-11-22T17:15:20.000Z,"What’s your dream for Los Angeles in 2021 
@LACityCouncil
 @MayorOfLA
 ?",,,,
Aren Fanning feb'78 26th,@LPhilth,2020-11-22T17:04:46.000Z,"Replying to 
@MrsAbbotKinney
 @MayorOfLA
 and 2 othersno fear sm and rand plan to step in and save you from yourself.. look back to 90- 91 and find you basic script.",,,,
Mrs. Abbot Kinney,@MrsAbbotKinney,2020-11-22T16:26:30.000Z,"Why would the 
@MayorOfLA
 &the 
@LACityCouncil
 approve #LAPD severe cuts to 
@LAPDPacific
 patrols in the #1 tourist attraction in #LosAngeles, in #Socal? I know they’ve never given a Fu*k about Venice residents, but who will keep the tourists &addicts safe?",,2,1,2
