UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Mike Bonin,@mikebonin,2020-11-22T19:13:49.000Z,"Looking forward to joining 
@HealthyLA_Coa
, 
@nithyavraman
, tenants, advocates and homeowners for an online discussion of ways we can #CancelRent and #CancelMortages to keep people in their homes.Healthy LA Coalition
@HealthyLA_Coa
 · 21h
We've lost 7,000 people to #COVID19 in #LACounty. Eviction is putting thousands more at risk. #HousingisHealth!  & we need to #CancelRent & #CancelMortgages to ensure everyone can stay safe at home. Join us! To learn more about our policy recs. VIA ZOOM: 
http://bit.ly/housingishealth",,1,3,16
Alex de Cordoba,@alexdecordoba,2020-11-22T17:09:11.000Z,"Replying to 
@AndrewDLewisI imagine 
@nithyavraman
 will be laser focused on this as she takes office next month. Now we need to elect more allies like her. 
@scottforla
 is one to watch in #LACD5",,,,1
Carlos Medina,@esoesperoyo,2020-11-22T15:39:10.000Z,"Lopez: Want to be a civil service millionaire? Apply today to the L.A. Fire Department https://latimes.com/california/story/2020-11-21/los-angeles-firefighters-make-a-bonanza-in-inspection-overtime… where do I apply? 
@MayorOfLA
 @LAController
 @LAFDChief
 @LAPDHQ
 @LAFD
 @LACity
 @CD6Nury
 @nithyavramanColumn: Want to make a fortune in overtime? Apply today to the L.A. Fire Department
Firefighters assigned to inspect buildings under construction are hauling in huge amounts of overtime.
latimes.com",,,,
lisagansky,@instigating,2020-11-22T05:29:05.000Z,"Image-Makers and the Climate Crisis: its time to package & sell a decarbonized future! ⁦
@billmckibben
⁩ ⁦
@otherlab
⁩ ⁦
@fossilfreemedia
⁩ ⁦
@jainkiranc
⁩ ⁦
@rmchase
⁩ ⁦
@nithyavraman
⁩ ⁦
@billyparish
⁩ ⁦
@mbauwens
⁩When “Creatives” Turn Destructive: Image-Makers and the Climate Crisis
If money is the oxygen on which the fire of global warming burns, then P.R. campaigns and snappy catchphrases are the kindling.
newyorker.com",,,3,5
Lyric Kelkar,@lyrickelkar,2020-11-22T03:39:47.000Z," December 3rd! We have policy recs for canceling rent and mortgages and conversation with 
@mikebonin
 and 
@nithyavraman
!!Healthy LA Coalition
@HealthyLA_Coa
 · 21h
We've lost 7,000 people to #COVID19 in #LACounty. Eviction is putting thousands more at risk. #HousingisHealth!  & we need to #CancelRent & #CancelMortgages to ensure everyone can stay safe at home. Join us! To learn more about our policy recs. VIA ZOOM: 
http://bit.ly/housingishealth",📢 📢 📢,,7,18
Matt Disney,@MatthewDisney9,2020-11-18T11:22:32.000Z,"Replying to 
@RightsNH
 @IlhanMN
 and 4 others",,,,
JRIZZO,@JRIZZO_ARMYVET,2020-11-18T10:37:22.000Z,"Replying to 
@RightsNH
 @IlhanMN
 and 4 othersBlack people were manipulated by the manipulative tactics of Democrats! FYI Joe Biden tried to block the Desegregation of Schools and WROTE every crime bills since the 70s that oppressed Minorities ! #Expose the Democrats",,,,1
Tony Weiss,@MrAnthonyWeiss,2020-11-18T06:38:00.000Z,"I'm a little late, but this 
@jessicaschulb
 piece nails it -- police unions spent big $$ in LA County and they got CREAMED. 
@nithyavraman
 for LA City Council, 
@GeorgeGascon
 for DA, 
@HollyJMitchell
 for Supes, and 
@reimagine_la
 -- total cop union wipeout.Police Unions Spent Millions To Beat Back Reform In Los Angeles. They Lost Big Time.
Grassroots organizing by groups like Black Lives Matter delivered criminal justice reform victories in America’s most populous county.
huffpost.com",,,1,1
ᕼOᑌᔕEᔕᖴOᖇᗩᒪᒪgirl80,@SoCalLakerGirl,2020-11-18T05:32:01.000Z,"Replying to 
@Ramarion85
 and 
@nithyavramanThat & i think we're all tiiiiiirrrrrreeed of the old guard that has shut their gates to the plight of the people (
@SpeakerPelosi
 @SenFeinstein
 @SenSchumer
 )",,,,2
Mari Sallee - #voteossoff #votewarnock,@Ramarion85,2020-11-18T05:30:11.000Z,"Replying to 
@SoCalLakerGirl
 and 
@nithyavramanYeah just trying to see who we have on deck and start following them now. It’s important for us to stay focused.",,1,1,5
