UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Audrey Georg,@georg_audrey,2020-11-20T21:09:01.000Z,"Replying to 
@AdamOfTheSmiths
 @davideryu
 and 20 othersAdam, you just keep getting better and better at delivering these messages musically and your huge heart and artistic talent shines through all of them.  Thank you for the way you inspire me to really feel.",,,,
"MJ
corruption out of LA
King",@MJkingthequeen,2020-11-20T20:03:02.000Z,"Wow,
@DavidERyu
@PaulKoretzCD5
@CD6Nury
@MRodCD7
@MHDCD8
@CurrenDPriceJr
@CMHerbJWesson
@MikeBoninLA
 
@CD12LA
@MitchOFarrell
@KdeLeon
@JoeBuscaino
 

Remember when racism, homophobia & disdain for our unhoused neighbors was covert? Atleast we know where we stand with 
@MayorOfLAPeople's City Council - Los Angeles
@PplsCityCouncil
 · Nov 20
That one time @MayorOfLA compared unhoused people to horseshit. Joe Biden is considering Garcetti for Housing and Urban Development Secretary. Ridiculous #GarcettiVille #HousekeysNotHandcuffs
17.5K views
0:03 / 0:14",👑 👑,,,
"MJ
corruption out of LA
King",@MJkingthequeen,2020-11-20T19:58:28.000Z,"@DavidERyu
@PaulKoretzCD5
@CD6Nury
@MRodCD7
@MHDCD8
@CurrenDPriceJr
@CMHerbJWesson
@MikeBoninLA
 
@CD12LA
@MitchOFarrell
@KdeLeon
@JoeBuscaino
 

 listen 
 Sophie Strauss
@sophielstrauss
 · Nov 20
Not only does it just move people around, but arresting people actually makes it HARDER for them to get housing, jobs, loans, assistance etc down the line with an arrest on their record. 

41.18 will EXACERBATE the housing crisis. 

#HousekeysNotHandcuffs twitter.com/theglowingstar…",👑 👑 ✨ ✨ 👇 👇 👇,,,1
Weird ALex,@WeirdAlex__,2020-11-20T19:51:25.000Z,"We need to stop criminalizing our homeless in a rutheless pandemic and repeal 41.18. vote no on C ouncil File 20-1376 #housekeysnothandcuffs 
@CMGilCedillo
 @PaulKrekorian
 @BobBlumenfield
 @DavidERyu
 @PaulKoretzCD5
 @CD6Nury
 @MRodCD7
 @MHDCD8
 @CurrenDPriceJr
 @CMHerbJWesson
 @CD12LA",🌊,1,,1
Another Adam Smith,@AdamOfTheSmiths,2020-11-20T19:42:24.000Z,"I'm not going to make Tuesday's meeting so leaving my public comment here. 
@davideryu
 @BobBlumenfield
 @CD12LA
 @kdeleon
 @cmgilcedillo
 @PaulKrekorian
 @CurrenDPriceJr
 @JoeBuscaino
 @MitchOFarrell
 @nithyavraman
 @PaulKoretzCD5
 #HousekeysNotHandcuffs #4aDayADyin

https://youtube.com/watch?v=IJkYP46LecQ…Mike Bonin and 9 others",,2,6,12
Christina Dirkes,@christinadirkes,2020-11-20T19:16:36.000Z,"I have spoken to 
@davideryu
's office about stopping the criminalization of homelessness in the past. He said he's against criminalizing it. Vote against 
@BobBlumenfield
's 41.18 motion, David, and leave a better legacy for your council term! #housekeysnothandcuffs",,,,
"MJ
corruption out of LA
King",@MJkingthequeen,2020-11-20T19:16:12.000Z,"@DavidERyu
@PaulKoretzCD5
@CD6Nury
@MRodCD7
@MHDCD8
@CurrenDPriceJr
@CMHerbJWesson
@MikeBoninLA
 
@CD12LA
@MitchOFarrell
@KdeLeon
@JoeBuscaino
Homelessness is NOT a crime

Hold each other accountable & represent your constituents

#housekeysnothandcuffs",👑 👑,,,
Jeezy Joo,@JeezyJoo,2020-11-20T19:08:58.000Z,"@davideryu
 #ServicesNotSweeps 

Vote NO today. Homelessness shouldn't be criminalized but jailing them should be!

#housekeysnothandcuffs",,,1,4
Christina,@cderhagopian,2020-11-20T19:08:06.000Z,".
@davideryu
 do the right thing and REJECT this proposal. 
@PplsCityCouncil",,,,
Sara Steffan,@saras116,2020-11-20T19:04:04.000Z,"Asking 
@davideryu
 to fight as hard as he can for the remainder of his term to get his colleagues to support his and 
@MikeBoninLA
’s amended motion. #ServicesNotSweeps 
@PplsCityCouncil",,,2,5
