UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
David E. Ryu,@davideryu,2020-06-25T00:35:29.000Z,"All together now: WEAR A MASK.LosFelizLedger
@LosFelizLedger
 · Jun 24
LA Mayor Garcetti says that 40% of #COVID19 infections are now among the 18-40 age group. #coronavirus
Show this thread",,41,25,78
Gavin Newsom,@GavinNewsom,2020-11-19T22:17:04.000Z,"Due to the rise in #COVID19 cases, CA is issuing a limited Stay at Home Order.

Non-essential work and gatherings must stop from 10pm-5am in counties in the purple tier.

This will take effect at 10pm on Saturday and remain for 1 month.

Together--we can flatten the curve again.",,28K,29.5K,52.6K
Los Angeles County,@CountyofLA,2020-11-02T23:36:08.000Z,"Voting in person? Protect yourself and others by following these simple guidelines:
• Wear a face covering
• Practice physical distancing in line and at voting booths
• Bring hand sanitizer
• Avoid crowds",,16,81,177
Listos California,@ListosCA,2020-10-29T18:45:36.000Z," Wash your hands, California! 
As we work together to slow the spread of #COVID19, don't forget to wash your hands frequently. Tip: if soap and water aren't available, use hand sanitizer that contains at least 60% alcohol!

http://covid19.ca.gov #YourActionsSaveLivesGIF",,5,15,18
David E. Ryu,@davideryu,2020-10-30T17:10:35.000Z,"""It's not just about us - it's about standing with all of our brothers and sisters - persons of color, those who are minorities, those who are disadvantaged - because when it affects one of us, it effects all of us""

Watch our full conversation: https://youtu.be/PufEzm6Diag",,4,7,8
David E. Ryu,@davideryu,2020-10-30T16:29:08.000Z,"Today is the FINAL day to get your application in for the LA Regional COVID Fund! The fund provides grants for small businesses, nonprofits, and entrepreneurs in LA. 

Apply today at http://lacovidfund.org ",🗓,,2,2
David E. Ryu,@davideryu,2020-10-29T20:42:00.000Z,Before - and after! Huge thanks to local artist Katharina Stenbeck for bringing her incredible talent to this #LACD4 utility box! You can check it out in person at the corner of 3rd Street and Manhattan Place ,🥳,2,2,8
David E. Ryu,@davideryu,2020-10-29T18:30:47.000Z,"Join us now for a conversation about the rise in hate crimes against the API community, and what we can all do to stand up to hate. I’m joined by a great group of panelists, tune in! http://facebook.com/cd4ryuA3PCON and 2 others",,3,5,7
Pathways LA,@PathwaysLA,2020-10-28T19:33:33.000Z,"Children of essential workers are now eligible for FREE short term child care. Based on a first come, first served basis. Apply online: http://pathwaysla.org/essential",,,2,1
David E. Ryu,@davideryu,2020-10-28T17:26:17.000Z,"Join me tomorrow at 11am for Take a Stand Against Hate, a virtual discussion that looks at the rise in hate crimes against the API community, and how we can all stand up to hate. 

Sign up: http://bit.ly/StopAPIHateMayorOfLA and 2 others",,3,5,4
David E. Ryu,@davideryu,2020-10-28T04:15:41.000Z,"Huge congratulations to the World Series champions, the LA 
@Dodgers
!Los Angeles Dodgers
@Dodgers
 · Oct 27
THE LOS ANGELES DODGERS ARE WORLD CHAMPIONS.",🎉 🎉,1,4,13
David E. Ryu,@davideryu,2020-10-27T18:31:18.000Z,"Thank you to all the volunteers who joined Regina and I today in distributing food to thousands of Angelenos. Special thanks to 
@LAFoodBank
, 
@SheilaKuehl
, and the 
@HollywoodBowl
 for their organization & support. 

Get involved & support the 
@LAFoodBank
: http://lafoodbank.org/stories/hollywood-bowl-food-distribution-coronavirus…",,4,4,7
David E. Ryu,@davideryu,2020-10-27T16:18:42.000Z,"Join us! Drive thru now open until noon 
@HollywoodBowl
!Sheila Kuehl
@SheilaKuehl
 · Oct 26
 Another drive-thru food distribution event at the @HollywoodBowl!

Please note, we cannot accommodate walk-ups. But if you need help, we can help you find it. Please visit http://covid19.lacounty.gov/food for food insecurity resources!",🚗,2,2,6
StreetsLA,@BSSLosAngeles,2020-10-26T22:14:30.000Z,"Good News for 
@metrolosangeles
 riders who wait on SB Glendale Blvd at Fletcher in #CD4. Today a transit shelter was installed- part of the location's renovation which included sidewalk repair, access ramp installation and a new bus pad. 
@davideryu
 @GMsTREEtsLA1H2O
 @OutfrontDecaux",,1,8,18
David E. Ryu,@davideryu,2020-10-26T18:55:08.000Z,"I have been tracking these numbers since 2017, when I brought public reporting of Hate Crime data to LA. This is why I put forth proactive hate crime legislation, and have been working to strengthen vulnerable institutions and communities against acts of hate.AirTalk with Larry Mantle
@AirTalk
 · Oct 26
New data shows that violent hate crimes are increasing in Los Angeles and Orange Counties. We’re on w/ Robin Toma, @proflevin & @dlehrer to hear more: https://scpr.org/programs/airtalk/2020/10/26/66171/hate-crimes-are-on-the-rise-in-los-angeles-and-ora/…",,5,5,4
David E. Ryu,@davideryu,2020-10-22T21:56:53.000Z,"There are hundreds of Vote by Mail Drop Boxes located throughout LA for you to safely cast your ballot 24/7! Make your voting plan today, and find an official drop box location 
 http://plan.lavote.net. #Election2020",➡,10,5,5
David E. Ryu,@davideryu,2020-10-22T19:28:58.000Z,"As we head into flu season, the message is clear:

Please get your flu shot.

Getting your flu shot will help ease pressure on our healthcare workers, and help to keep Angelenos safe. Find a free flu shot near you: http://Coronavirus.LACity.org/FluShot.City of Los Angeles",,7,,1
L.A. Public Library,@LAPublicLibrary,2020-10-20T18:24:52.000Z,"Library To Go services are now available at six more branches: Chatsworth⁠, Mark Twain⁠, RL Stevenson⁠, Sun Valley⁠, Washington Irving⁠ & Westchester. All cardholders, including those with e-cards, can place & pick up holds: http://lapl.me/HPSEsZo",,5,19,42
David E. Ryu,@davideryu,2020-10-21T22:23:57.000Z,"Today I introduced legislation urging the City of LA to join the 30x30 conservation campaign. If approved, this would commit our city to conserving 30% of our land for open space and conservation by 2030.PRESS RELEASE: Councilmember Ryu Introduces Legislation Urging Los Angeles to Join the 30 by 30...
davidryu.lacity.org",,13,,2
