UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Nithya Raman,@nithyavraman,2020-11-04T01:22:32.000Z,"This campaign was never about any one person. We’ve built a community together — and I’m so proud, honored, and inspired to have been a part of it with all of you.1:17
140.2K views",,57,261,2K
Nithya Raman,@nithyavraman,2020-11-17T22:32:56.000Z,"Very excited to be joining 
@PplsAction
 and some really incredible guests this evening to talk about how we can continue to build power for big change at the local level!People's Action
@PplsAction
 · Nov 17
TONIGHT @ 8PM ET we're celebrating our electoral wins and laying the groundwork for big structural change! 

Join us, Rep. @IlhanMN , Councilwoman @nithyavraman , Dr. @AbdulElSayed, and @NaomiAKlein! Feat. musical guest @headandtheheart!

RSVP: http://ppls.ac/town-hall",,3,26,190
Nithya Raman,@nithyavraman,2020-11-07T01:58:36.000Z,"To the residents of CD4, our brilliant, kind, and inspiring campaign team, our thousands of tireless volunteers, and everyone who shared their ideas for how we can build the LA we deserve:

It’s now official. Thanks to your support, we’re going to City Hall.",,184,1.5K,13K
Nithya Raman,@nithyavraman,2020-11-07T02:01:25.000Z,"Replying to 
@nithyavramanTo the people of Council District 4, I’m so grateful for the trust you’ve placed in me. I know we’re heading into a challenging moment as a city, but I am ready and excited to navigate it with you.",,5,15,779
Nithya Raman,@nithyavraman,2020-11-07T02:02:06.000Z,"I have countless people to thank individually. But for now, I just want to celebrate the joy of working with so many of you to fight for our city -- and get ready for the work to come.

There will be joy in that work, too. Because we’re all going to City Hall together.",,25,25,961
Nithya Raman,@nithyavraman,2020-11-02T19:50:36.000Z,"I’ve learned so much about Los Angeles from the process of researching these platforms, and I’m grateful beyond words to the dozens and dozens of volunteers who volunteered their intelligence and life experience.

I hope you’ll read them if you haven’t!Overview — Nithya for the city
nithyaforthecity.com",,1,10,85
Nithya Raman,@nithyavraman,2020-11-02T19:50:14.000Z,"With the economy struggling, LA has an obligation to step in to preserve the many community businesses that are facing possible closure as a result of COVID-19.

We put forward a platform offering ideas for how LA could keep these small businesses alive.Supporting Small Business — Nithya for the city
nithyaforthecity.com",,1,3,44
Nithya Raman,@nithyavraman,2020-11-02T19:49:53.000Z,"LA’s most urgently needed resource is affordable housing -- but most of us don’t know much about how it gets built.

We put together a policy platform exploring how we can incentivize this kind of housing, and make LA a welcoming city for all incomes.Creating Affordable Housing — Nithya for the city
nithyaforthecity.com",,1,7,55
Nithya Raman,@nithyavraman,2020-11-02T19:49:36.000Z,"After the murder of George Floyd and the national reckoning around police brutality against Black Americans, we put our greatest policymaking effort into asking how Los Angeles could transform policing and public safety -- creating a safer city for all.Transforming Public Safety — Nithya for the city
nithyaforthecity.com",,1,8,59
Nithya Raman,@nithyavraman,2020-11-02T19:49:15.000Z,"COVID-19 has exposed LA’s digital divide, and left so many children from low-income families without access to basic education.

So we looked at how the city could invest in public broadband infrastructure, and make getting online a basic human right.Public Broadband — Nithya for the city
nithyaforthecity.com",,1,5,51
Nithya Raman,@nithyavraman,2020-11-02T19:48:08.000Z,"As the pandemic set in, and it was clear that government inaction would lead to mass evictions and even greater homelessness, we put forward LA’s first rent forgiveness proposal -- ideas for keeping tenants housed while preserving LA's rental units.Rent Forgiveness — Nithya for the city
nithyaforthecity.com",,1,5,54
Nithya Raman,@nithyavraman,2020-11-02T19:43:50.000Z,"With a day until the election, I want to celebrate something our campaign did that makes me so proud: we put out the most detailed (and readable!) policies I've ever seen in a city race.

Let’s talk about our platforms and how we built them. (thread)Overview — Nithya for the city
nithyaforthecity.com",,6,197,823
Nithya Raman,@nithyavraman,2020-11-02T19:47:01.000Z,"Replying to 
@nithyavramanCorruption is a huge issue in LA government -- and in many ways the incentive to sell influence is baked into our political system.

We put out a platform asking how we could reduce the influence of money in politics and make City Hall work for residents:",,3,5,59
Nithya Raman,@nithyavraman,2020-11-02T19:47:39.000Z,"LA’s population is aging rapidly, but the city currently isn’t well-designed for seniors. How can we create an LA where people of all ages can thrive?

We looked at solutions in our Aging and Health policy, including volunteer and home care service hubs.Aging and Health — Nithya for the city
nithyaforthecity.com",,1,4,53
Nithya Raman,@nithyavraman,2020-11-01T01:17:00.000Z,"The only thing scarier than phonebanking is NOT phonebanking.

http://nithyaforthecity.com/signup",,3,52,226
Nithya Raman,@nithyavraman,2020-10-31T17:08:28.000Z,"Skip the lines on election day and vote this weekend!! There are over 50 voting centers in or within a few blocks of our district.

For a full map click here: http://nithyaforthecity.com/vote",,2,79,296
Nithya Raman,@nithyavraman,2020-10-30T17:35:21.000Z,"There's been a lot of discussion this week about encampment sweeps in LA. But criminalization has been our city's primary response to homelessness for years.

What if we took a cheaper, more compassionate, *and* more effective approach? We talked it out with 
@tweetrajouhari
!",,8,127,473
Nithya Raman,@nithyavraman,2020-10-29T20:03:43.000Z,"So grateful to 
@voguemagazine
 for capturing the energy of our campaign. We are thrilled to be part of this rising local movement for progressive change in LA!Vogue Magazine
@voguemagazine
 · Oct 29
.@NithyaVRaman's deeply progressive campaign against incumbent David Ryu in Los Angeles has attracted significant attention in recent months, garnering a coveted endorsement from Bernie Sanders himself. http://vogue.cm/BdxYKp1",,4,101,1.1K
Nithya Raman,@nithyavraman,2020-10-28T00:34:26.000Z,"Join us Wednesday at 5:30pm for one of our final phonebanks before election day with special guest, the amazing 
@vanessabayer
! 

Sign up here: http://bit.ly/PBwithVB3",,3,26,213
Nithya Raman,@nithyavraman,2020-10-27T18:01:28.000Z,"We can't return to the failed strategy of encampment sweeps. Sweeps devastate lives and only serve to shuffle homelessness around -- they don't reduce it, and often make it worse.

All of our resources should be dedicated to directing people into stable housing and care. (thread)Los Angeles Times
@latimes
 · Oct 23
Several L.A. City Council members back law to ban homeless camps near city shelters https://latimes.com/california/story/2020-10-23/councilman-buscaino-asks-for-a-ban-on-homeless-camps-near-city-shelters…",,6,320,1.2K
Nithya Raman,@nithyavraman,2020-10-27T18:05:09.000Z,"Replying to 
@nithyavramanIt’s time to let our elected leaders know: sweeps are a cruel, expensive, and ineffective response to homelessness.

Call your City Councilmember and ask them to oppose the revision to Municipal Code 41.18. You can also leave public comment at this link: http://bit.ly/oppose-4118",,1,31,126
Nithya Raman,@nithyavraman,2020-10-27T18:05:32.000Z,"For more on strategies that are more effective than sweeps at addressing homelessness, take a look at our Housing and Homelessness policy.

It’s the first one our campaign put forward, and continues to inform our work.Housing and Homelessness — Nithya for the city
nithyaforthecity.com",,1,5,69
Nithya Raman,@nithyavraman,2020-10-26T20:05:29.000Z,"Oops! We accidentally used our small dollar total from a prior reporting period. In the last month our small dollar donations were actually $69,426.30, which is just under 40% of our total for the period! Thank you to everyone who donated!",,4,3,60
Nithya Raman,@nithyavraman,2020-10-26T16:55:02.000Z,"One last fundraising update for our campaign:

We had an amazing month -- and we remain ahead of the incumbent in direct donations. Mostly thanks to small-dollar donors!

But sadly, dark money is still putting us at a major financial disadvantage. (thread)",,6,82,614
Nithya Raman,@nithyavraman,2020-10-26T16:57:03.000Z,"Replying to 
@nithyavramanThere’s only one way we can push back against the influence of PAC money in this race: volunteer power. This week, we really need phone bankers.

If you sign up here to be one of our 300 final-week phonebankers, you’d be doing so much to help us win.",,3,28,113
Nithya Raman,@nithyavraman,2020-10-26T16:57:29.000Z,"Thank you to the thousands of donors and volunteers who have helped make this a record-setting grassroots City Council campaign.

It’s that kind of energy and passion that will help us bring sustained change to LA -- that’s how we’ll build the city we deserve together.",,1,3,94
Nithya Raman,@nithyavraman,2020-10-26T00:27:51.000Z,"Nine days left until November 3rd! We've set a goal of filling *300 volunteer phone banking shifts* before Election Day.

Sound overly ambitious? It is! But we think we can do it anyway.

Let's hear more from our celebrity spokesperson.

http://nithyaforthecity.com/signup0:56
32.6K views",,1,67,277
Nithya Raman,@nithyavraman,2020-10-25T17:53:28.000Z,"In-person early voting began yesterday! We're out there tabling again today and all this week. Say hi if you see us!

And check out our list of vote center locations and other voting resources here: https://nithyaforthecity.com/vote",,2,42,422
Nithya Raman,@nithyavraman,2020-10-25T00:02:24.000Z,"Sadly, our race has turned very ugly in the last few weeks. My opponent, Councilmember David Ryu, has launched an onslaught of negative ads -- filled with dangerous lies designed to stoke fear about police reform.

Let's talk about why this false rhetoric is so harmful for LA.",,43,838,3.4K
Nithya Raman,@nithyavraman,2020-10-23T21:32:12.000Z,"Homelessness in LA, already an emergency, is poised to rise sharply due to the pandemic. What can we do?
Neighborhood-level services
Expanded outreach
More affordable housing
Protections for tenants

The current system isn't working. I'm running to transform it.",💙 💛 💙 💛,9,219,919
Nithya Raman,@nithyavraman,2020-10-22T00:28:14.000Z,"As you probably know, we’ve never accepted any donations from corporations -- or individuals tied to real estate development or fossil fuels.

We haven’t benefited from independent expenditures by PACs either -- until last week. And I wanted to be transparent about this. (thread)",,9,118,955
Nithya Raman,@nithyavraman,2020-10-22T00:35:08.000Z,"Replying to 
@nithyavraman$470k in PAC money on behalf of my opponent is a lot for a city council race. Big enough to drown out the voices of ordinary citizens.

That’s why I felt it was important to speak up when even a smaller amount was spent on my behalf in a similar fashion.",,2,4,184
Nithya Raman,@nithyavraman,2020-10-22T00:35:35.000Z,"I believe the only way to stop corruption in City Hall is to run clean campaigns and get money out of politics -- completely.

You can read my entire platform for how I’ll make City Hall work for us on my website:Make City Hall Work for Us — Nithya for the city
nithyaforthecity.com",,9,10,208
