UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
David E. Ryu,@davideryu,2020-11-02T23:32:24.000Z,"Whether you need to get online for distance learning, remote work, or to stay connected to friends and family, you can find low cost internet service & devices through Get Connected LA.

Learn more: http://GetConnectedLosAngeles.lacity.org",,20,3,4
David E. Ryu,@davideryu,2020-11-02T19:51:33.000Z,"Have you tracked your ballot yet? Sign up for ballot tracking so you can verify that your ballot was received and counted! 

Register at http://california.ballottrax.net/voter #VoteCity of Los Angeles",,4,8,12
David E. Ryu,@davideryu,2020-10-30T19:34:46.000Z,"Join me in celebrating Halloween safely this year, and avoid trick or treating, or gathering with those outside your home. ",🎃,7,,2
David E. Ryu,@davideryu,2020-10-30T17:10:35.000Z,"""It's not just about us - it's about standing with all of our brothers and sisters - persons of color, those who are minorities, those who are disadvantaged - because when it affects one of us, it effects all of us""

Watch our full conversation: https://youtu.be/PufEzm6Diag",,4,7,8
David E. Ryu,@davideryu,2020-10-30T16:29:08.000Z,"Today is the FINAL day to get your application in for the LA Regional COVID Fund! The fund provides grants for small businesses, nonprofits, and entrepreneurs in LA. 

Apply today at http://lacovidfund.org ",🗓,,2,2
David E. Ryu,@davideryu,2020-10-29T20:42:00.000Z,Before - and after! Huge thanks to local artist Katharina Stenbeck for bringing her incredible talent to this #LACD4 utility box! You can check it out in person at the corner of 3rd Street and Manhattan Place ,🥳,2,2,8
David E. Ryu,@davideryu,2020-10-29T18:30:47.000Z,"Join us now for a conversation about the rise in hate crimes against the API community, and what we can all do to stand up to hate. I’m joined by a great group of panelists, tune in! http://facebook.com/cd4ryuA3PCON and 2 others",,3,5,7
David E. Ryu,@davideryu,2020-10-28T17:26:17.000Z,"Join me tomorrow at 11am for Take a Stand Against Hate, a virtual discussion that looks at the rise in hate crimes against the API community, and how we can all stand up to hate. 

Sign up: http://bit.ly/StopAPIHateMayorOfLA and 2 others",,3,5,4
David E. Ryu,@davideryu,2020-10-28T04:15:41.000Z,"Huge congratulations to the World Series champions, the LA 
@Dodgers
!Los Angeles Dodgers
@Dodgers
 · Oct 27
THE LOS ANGELES DODGERS ARE WORLD CHAMPIONS.",🎉 🎉,1,4,13
David E. Ryu,@davideryu,2020-10-27T18:31:18.000Z,"Thank you to all the volunteers who joined Regina and I today in distributing food to thousands of Angelenos. Special thanks to 
@LAFoodBank
, 
@SheilaKuehl
, and the 
@HollywoodBowl
 for their organization & support. 

Get involved & support the 
@LAFoodBank
: http://lafoodbank.org/stories/hollywood-bowl-food-distribution-coronavirus…",,3,4,7
