UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Nithya Raman,@nithyavraman,2020-11-25T19:06:41.000Z,"To learn more about their advocacy around this issue and many others, follow 
@SAJE_ShiftPower
 and 
@LATenantsUnion
.

To watch videos from tenants who have faced harassment during COVID-19, follow 
@CalOrganize
.",,1,1,51
Nithya Raman,@nithyavraman,2020-11-25T19:06:24.000Z,"I am learning so much as I make this transition to City Hall and study the history of what council has done on these issues.

I’m really excited to continue sharing more of the story of how our city works and how we can make it work better for all of us.",,3,,73
Nithya Raman,@nithyavraman,2020-11-25T19:06:06.000Z,"This pandemic has revealed just how tenuous the level of safety and security is for so many renters in LA.

Let’s use this moment to be truly comprehensive about fixing these vulnerabilities -- during COVID-19 and beyond.",,1,1,34
Nithya Raman,@nithyavraman,2020-11-25T19:05:39.000Z,"A motion to establish a tenant right to counsel has also been winding its way through City Hall for years.

Council allocated $10 million in Sept to a legal defense fund, but we’re still a long way from offering free legal counsel to all who need it. https://clkrep.lacity.org/onlinedocs/2018/18-0610_mot_06-22-2018.pdf…",,1,1,27
Nithya Raman,@nithyavraman,2020-11-25T19:05:03.000Z,"And while an anti-harassment ordinance has the potential to act as a deterrent against bad behavior from landlords, some will continue to pursue spurious evictions.

In these instances, access to legal counsel is essential to keep tenants housed.A Right to Counsel Is a Right to a Fighting Chance - Center for American Progress
Guaranteeing legal representation for renters facing eviction not only is a highly effective means of keeping renters in their homes, but it also benefits whole communities by preventing homelessne...
americanprogress.org",,1,,31
Nithya Raman,@nithyavraman,2020-11-25T19:04:42.000Z,"Right now, our model for enforcing tenant protections is largely complaint driven.

That means tenants must know their rights and how to report violations -- but a study from UCLA shows this is frequently not the case. https://anderson.ucla.edu/documents/areas/ctr/ziman/UCLA_Economic_Letter_Ong-Pech-Ong-González-Ong_05.05.20.pdf…",,1,,31
Nithya Raman,@nithyavraman,2020-11-25T19:04:12.000Z,"We should have prioritized this a long time ago. And in fact, it’s only a piece of a much bigger shift we need to see happen.

A more comprehensive response to protecting tenants would involve two things: proactive enforcement and a right to counsel for tenants facing eviction.",,2,,42
Nithya Raman,@nithyavraman,2020-11-25T19:03:39.000Z,"Getting here has taken an incredibly long time: the ordinance was first discussed in February of 2017. 

More than 3 years later, we have not yet seen the first draft of an ordinance that every city department that studied the issue supported. https://clkrep.lacity.org/onlinedocs/2014/14-0268-S13_mot_02-22-2017.pdf…",,1,,33
Nithya Raman,@nithyavraman,2020-11-25T19:03:01.000Z,"Like ordinances already in place in SF, Santa Monica, and WeHo, this one would establish civil and criminal penalties for landlords that harass tenants. 

Yesterday, the Housing Committee asked the City Attorney to draft an ordinance based on guidance from 
@HCIDLA
 and the CAO.",,1,,38
Nithya Raman,@nithyavraman,2020-11-25T19:02:30.000Z,"COVID-19 has made tenant harassment an even bigger problem.

Faced with tenants unable to pay rent and greater protections against evictions, some landlords have stepped up harassment to get tenants to self-evict.L.A. has a coronavirus eviction ban, but landlords are finding ways to demand rent
Landlords in Los Angeles are pushing tenants to agree to repayment plans far more onerous than what's required under new laws passed to prevent evictions.
latimes.com",,1,6,51
Nithya Raman,@nithyavraman,2020-11-25T19:02:04.000Z,"Tenant harassment includes lying, intimidation, or refusal to do repairs to encourage tenants to leave.

In rent-stabilized units, where big rent increases are only permitted during vacancy, unscrupulous landlords are often motivated to push out tenants paying below-market rents.",,1,,52
Nithya Raman,@nithyavraman,2020-11-25T19:01:41.000Z,"A tenant anti-harassment ordinance made progress in the LA City Council’s Housing Committee on Monday.

Let’s talk about what this ordinance would do, why it’s important, and why there’s still a lot more work to do. (thread) 
https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=14-0268-S13…",,3,67,396
