UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Alex de Cordoba,@alexdecordoba,2020-11-14T18:34:46.000Z,"Remind me who you endorsed in #LACD4? The guy who supported by Trump donors? Veer Liberal all you want, you’re completely out of touch with reality.Sewell Chan
@sewellchan
 · Nov 14
Biden won 70% of LA County. Like the city we cover, the @latimesopinion editorial board veers liberal. But it’s imperative to listen to other views.
Show this thread",,,,
Kenny Uong,@_KennyUong_,2020-11-13T05:14:39.000Z,"Councilwoman-elect 
@NithyaVRaman
, featuring streets in #LACD4! The first letter of each street spells out her name! 
 #NithyaForTheCity",😊,3,5,100
Kenny Uong,@_KennyUong_,2020-11-09T05:09:45.000Z,TFW not only the Glendale/LA border is near your neighborhood but so is #LACD4 and Griffith Park! ,😊 💚,,1,6
Kenny Uong,@_KennyUong_,2020-11-08T03:24:20.000Z,"LA’s future is looking brighter and greener with Councilwoman-elect Nithya Raman on the LA City Council! 

From the Bette Davis Picnic Area in #LACD4 with 
 and support! ",💚,,,3
Kenny Uong,@_KennyUong_,2020-11-08T02:34:02.000Z,"LA Metro Line 96 entering Griffith Park... Get onboard folks, we’re heading to City Hall! There’s a stop near LA City Hall at Spring St. & Temple St.! 
 #LACD4",😊 🚌 🏛,1,,6
Kenny Uong,@_KennyUong_,2020-11-08T01:04:10.000Z,"This morning, I went on a walk to the northeastern tip of #LACD4 to celebrate Councilwoman-elect 
@NithyaVRaman
's win! Expanding green spaces & public transit is included in her environmental & mobility platform! 
 #MyDayInLA #GriffithPark",😊 💛 💙 🌳,1,,21
Olsen Ebright,@oebright,2020-11-07T01:30:30.000Z,"""Now is the time to come together. No matter your political views, or who you supported in this campaign, we all must work together to overcome the challenges facing our city,"" says 
@davideryu
 #LACD4",,,,1
Olsen Ebright,@oebright,2020-11-07T01:28:30.000Z,"BREAKING: LA Councilman 
@davideryu
 concedes to 
@nithyavraman
 in race for #LACD4",,1,,
Kenny Uong,@_KennyUong_,2020-11-07T00:45:27.000Z,11/6/20 4:25 pm #LACD4 election update:,,1,,1
Beverly Press,@BeverlyPress,2020-11-05T21:00:18.000Z,"""While we await the final vote counts, the results already show us the path to the city we believe is possible,"" 
@nithyavraman
 said. 
@LACountyRRCC
 @davideryu
 @MagicCastle_AMA
 #la #losangeles #citycouncil #lacd4 #councildistrict4 #district4Raman pulls ahead in District 4 race - Park Labrea News/ Beverly Press
Los Angeles City Council candidate Nithya Raman is leading in the election for the 4th District according to...
beverlypress.com",,,1,1
